company,newsroom_page,tag,link,base
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1223_ExxonMobil-discovers-oil-offshore-Guyana-at-Mako-1-well,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1220_ExxonMobil-begins-oil-production-in-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1213_ExxonMobil-gift-to-CitySquare-contributes-toward-Fight-against-Poverty-in-the-Dallas-region,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1210_ExxonMobil-responds-to-verdict-in-suit-by-New-York-Attorney-General,https://corporate.exxonmobil.com
Exxon Mobil,17,a,/News/Newsroom/News-releases/2019/1126_Joseph-Hooley-elected-to-ExxonMobil-Board-of-Directors,https://corporate.exxonmobil.com
Exxon Mobil,17,a,/News/Newsroom/News-releases/2019/1106_ExxonMobil-and-FuelCell-Energy-expand-agreement-for-carbon-capture-technology,https://corporate.exxonmobil.com
Exxon Mobil,17,a,/News/Newsroom/News-releases/2019/1101_ExxonMobil-earns-3_2-billion-in-third-quarter-2019,https://corporate.exxonmobil.com
Exxon Mobil,17,a,/News/Newsroom/News-releases/2019/1030_Exxon-Mobil-Corporation-declares-fourth-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,17,a,/News/Newsroom/News-releases/2019/1021_ExxonMobil-renews-support-for-MIT-Energy-Initiatives-low-carbon-research,https://corporate.exxonmobil.com
Exxon Mobil,18,a,/News/Newsroom/News-releases/2019/1014_ExxonMobil-expands-low-emissions-technology-research-with-universities-in-India,https://corporate.exxonmobil.com
Exxon Mobil,18,a,/News/Newsroom/News-releases/2019/0926_ExxonMobil-contributes-350K-to-Imelda-Relief-in-Beaumont-and-Greater-Houston,https://corporate.exxonmobil.com
Exxon Mobil,18,a,/News/Newsroom/News-releases/2019/0926_ExxonMobil-to-sell-Norway-upstream-operations-for-4_5-billion,https://corporate.exxonmobil.com
Exxon Mobil,18,a,/News/Newsroom/News-releases/2019/0916_ExxonMobil-announces-oil-discovery-offshore-Guyana-at-Tripletail,https://corporate.exxonmobil.com
Exxon Mobil,18,a,/News/Newsroom/News-releases/2019/0826_ExxonMobil-and-Mosaic-Materials-to-explore-new-carbon-capture-technology,https://corporate.exxonmobil.com
Exxon Mobil,19,a,/News/Newsroom/News-releases/2019/0802_ExxonMobil-earns-3_1-billion-in-second-quarter-2019,https://corporate.exxonmobil.com
Exxon Mobil,19,a,/News/Newsroom/News-releases/2019/0731_Exxon-Mobil-Corporation-declares-third-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,19,a,/News/Newsroom/News-releases/2019/0724_ExxonMobil-begins-production-on-Beaumont-high-performance-polyethylene-line,https://corporate.exxonmobil.com
Exxon Mobil,19,a,/News/Newsroom/News-releases/2019/0627_ExxonMobil-and-Global-Thermostat-to-advance-breakthrough-atmospheric--carbon-capture-technology,https://corporate.exxonmobil.com
Exxon Mobil,19,a,/News/Newsroom/News-releases/2019/0619_ExxonMobil-to-provide-3-million-to-USAID-programs-in-Mozambique,https://corporate.exxonmobil.com
Exxon Mobil,20,a,/News/Newsroom/News-releases/2019/0613_ExxonMobil-and-SABIC-to-proceed-with-Gulf-Coast-Growth-Ventures-project,https://corporate.exxonmobil.com
Exxon Mobil,20,a,/News/Newsroom/News-releases/2019/0612_ExxonMobil-completes-Singapore-expansion-to-enhance-Group-II-base-stocks-supply,https://corporate.exxonmobil.com
Exxon Mobil,20,a,/News/Newsroom/News-releases/2019/0611_ExxonMobil-proceeds-with-Argentina-expansion-project-in-Vaca-Muerta-Basin,https://corporate.exxonmobil.com
Exxon Mobil,20,a,/News/Newsroom/News-releases/2019/0605_ExxonMobil-and-partners-to-redevelop-Angola-Block-15-to-increase-production,https://corporate.exxonmobil.com
Exxon Mobil,20,a,/News/Newsroom/News-releases/2019/0529_ExxonMobil-progresses-growth-plans-and-efforts-to-advance-lower-emissions-technologies,https://corporate.exxonmobil.com
Exxon Mobil,21,a,/News/Newsroom/News-releases/2019/0520_Media-Advisory_ExxonMobil-Annual-Meeting-of-Shareholders-May-29-2019,https://corporate.exxonmobil.com
Exxon Mobil,21,a,/News/Newsroom/News-releases/2019/0517_ExxonMobil-Permian-development-to-provide-64B-in-benefits-to-NM-study,https://corporate.exxonmobil.com
Exxon Mobil,21,a,/News/Newsroom/News-releases/2019/0516_ExxonMobil-and-employees-donate-more-than-3_1M-to-Pennsylvania-colleges-and-universities,https://corporate.exxonmobil.com
