company,newsroom_page,tag,link,year,base
Amazon,0,a,/news-releases/news-release-details/aws-launches-region-middle-east,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/five-kindle-direct-publishing-authors-win-top-romance-writing-0,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazoncom-announces-second-quarter-sales-20-634-billion,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-continues-drive-shipment-zero-announces-early-completion,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/dean-koontz-signs-new-five-book-deal-amazon-publishing,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-plans-expand-ohio-two-new-amazon-robotics,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/alexa-how-was-prime-day-prime-day-2019-surpassed-black-friday,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/prime-day-update-24-hours-left-shop-thousands-new-deals,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/starting-monday-july-15-ask-alexa-what-are-my-prime-day-deals-0,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazoncom-webcast-second-quarter-2019-financial-results,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/pro-football-focus-selects-aws-its-official-cloud-and-machine,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-pledges-upskill-100000-us-employees-demand-jobs-2025,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-launches-transparency-europe-india-and-canada-product,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/whole-foods-market-celebrates-prime-members-exclusive-deals,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-delivering-star-studded-deals-members-prime-day,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/alexa-remind-me-shop-deals-prime-day,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-counter-us-where-customers-can-pick-their,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-music-announces-taylor-swift-headline-prime-day-concert,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-and-seattle-public-schools-team-bring-computer-science,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/alexa-when-prime-day-july-15-16-will-be-two-day-parade-epic,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-aws-security-hub,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-aws-control-tower,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-studios-endgame-entertainment-begin-production-mike,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-kicks-summer-college-store-launch-one-stop-shop-college,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazonfresh-expands-las-vegas-1-and-2-hour-delivery,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-best-books-2019-so-far,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/continued-growth-amazons-air-network-expand-prime-fast-free,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-studios-begins-production-richard-tannes-chemical-hearts,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-latest-effort-fight-homelessness-8-million,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-prime-launches-uae,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-personalize,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/nascar-selects-aws-its-preferred-cloud-computing-cloud-machine,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-managed-streaming,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-provides-1m-donation-support-red-cross-critical-right-now,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-textract,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-echo-show-5-compact-design-rich-sound-and,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/emirates-nbd-building-artificial-intelligence-enabled-bank,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/mindy-kaling-publish-new-essay-collection-amazon-available-free,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-launches-support-traditional-chinese-books-kindle,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-aws-ground-station,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-literary-partnership-announces-2019-grant-recipients,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/introducing-all-new-fire-7-kids-edition-next-generation-amazons,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/introducing-all-new-amazon-fire-7-faster-processor-2x-storage,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-providing-access-over-9-million-school-breakfasts-more,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-launches-kindle-lite-kenya-free-2-mb-app-android,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/employees-turned-entrepreneurs-new-amazon-initiative-helps,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/introducing-all-new-blink-xt2-next-gen-outdoorindoor-smart,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-publishes-2019-smb-impact-report-launches-build-your,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/souq-becomes-amazonae-uae,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-reveals-top-10-states-fastest-growing-small-and-medium,2019,https://press.aboutamazon.com
